title,ingredients,directions,link,source,NER
Spaghetti z zupą pomidorową i pieczarkową,"['450 g mielonej wołowiny', '1 cebula, posiekana', '3 puszki skondensowanej zupy pomidorowej', '2 puszki skondensowanej zupy pieczarkowej', 'Sól i pieprz do smaku', 'Czosnek do smaku', 'Odrobina chili w proszku', 'Makaron spaghetti']","['Podsmaż mieloną wołowinę z posiekaną cebulą, aż mięso będzie dobrze ugotowane.', 'Dodaj zupy pomidorowe i pieczarkowe do mięsa.', 'Dopraw solą, pieprzem, czosnkiem i chili według uznania.', 'Gotuj na małym ogniu przez kilka minut, mieszając od czasu do czasu.', 'Ugotuj makaron zgodnie z instrukcją na opakowaniu.', 'Podawaj sos na gorąco z makaronem.']",,Unknown,
Kanapka z masłem orzechowym i majonezem,"['Chleb tostowy', 'Masło orzechowe', 'Majonez']","['Posmaruj jedną kromkę chleba masłem orzechowym.', 'Drugą kromkę posmaruj majonezem.', 'Złóż kromki razem, tworząc kanapkę.']",,Unknown,
Sałatka z galaretką i warzywami,"['1 opakowanie galaretki cytrynowej', '1 szklanka wrzącej wody', '1 szklanka zimnej wody', '1 szklanka drobno posiekanej marchewki', '1 szklanka drobno posiekanego selera', '1 szklanka drobno posiekanej czerwonej papryki']","['Rozpuść galaretkę w 1 szklance wrzącej wody, dokładnie mieszając.', 'Dodaj 1 szklankę zimnej wody i wymieszaj.', 'Włóż do lodówki na około 1 godzinę, aż zacznie tężeć.', 'Dodaj posiekane warzywa do lekko stężałej galaretki i delikatnie wymieszaj.', 'Przełóż mieszankę do formy i schładzaj w lodówce, aż całkowicie stężeje.', 'Przed podaniem pokrój w plastry.']",,Unknown,
Lody waniliowe z oliwą z oliwek i solą morską,"['Lody waniliowe', 'Dobrej jakości oliwa z oliwek', 'Sól morska']","['Nałóż porcję lodów waniliowych do miseczki.', 'Skrop lody niewielką ilością oliwy z oliwek.', 'Posyp szczyptą soli morskiej.', 'Podawaj od razu.']",,Unknown,
Kanapka z chipsami ziemniaczanymi i majonezem,"['Chleb tostowy', 'Majonez', 'Ulubione chipsy ziemniaczane']","['Posmaruj dwie kromki chleba majonezem.', 'Na jednej z kromek ułóż warstwę chipsów ziemniaczanych.', 'Przykryj drugą kromką chleba, tworząc kanapkę.']",,Unknown,
Pizza z ananasem i jalapeño,"['Ciasto na pizzę', 'Sos pomidorowy', 'Ser mozzarella', 'Kawałki ananasa', 'Plastry jalapeño']","['Rozwałkuj ciasto na pizzę i posmaruj sosem pomidorowym.', 'Posyp równomiernie serem mozzarella.', 'Dodaj kawałki ananasa i plastry jalapeño.', 'Piecz w nagrzanym piekarniku zgodnie z instrukcją dla ciasta, aż ser się roztopi, a brzegi będą złociste.']",,Unknown,
Sałatka z arbuzem i serem feta,"['Kawałki arbuza', 'Ser feta, pokruszony', 'Świeża mięta, posiekana', 'Oliwa z oliwek', 'Sól i pieprz do smaku']","['W misce wymieszaj kawałki arbuza z serem feta i posiekaną miętą.', 'Skrop oliwą z oliwek i dopraw solą oraz pieprzem.']",,Unknown,
Grzanki z awokado i dżemem truskawkowym,"['Chleb pełnoziarnisty', 'Dojrzałe awokado', 'Dżem truskawkowy']","['Podpiecz kromki chleba na złocisty kolor.', 'Rozgnieć awokado i posmaruj grzanki.', 'Nałóż cienką warstwę dżemu truskawkowego na awokado.', 'Podawaj od razu jako szybkie śniadanie lub przekąskę.']",,Unknown,
Kanapka z bananem i chipsami ziemniaczanymi,"['2 kromki chleba tostowego', 'Masło orzechowe', '1 banan, pokrojony w plastry', 'Chipsy ziemniaczane']","['Posmaruj kromki chleba masłem orzechowym.', 'Na jednej kromce ułóż plastry banana.', 'Nałóż warstwę chipsów ziemniaczanych na banany.', 'Przykryj drugą kromką chleba, tworząc kanapkę.']",,Unknown,
Pieczony kurczak z Coca-Colą i ketchupem,"['1 kg udek kurczaka', '1 puszka Coca-Coli', '1/2 szklanki ketchupu', 'Sól, pieprz i ulubione przyprawy do smaku']","['Dopraw kurczaka solą, pieprzem i przyprawami.', 'Wymieszaj Coca-Colę z ketchupem, tworząc marynatę.', 'Włóż kurczaka do naczynia żaroodpornego i zalej marynatą.', 'Piecz w temperaturze 180°C przez około 1 godzinę, polewając kurczaka marynatą co 15 minut.']",,Unknown,
Jajecznica z masłem orzechowym i sosem sojowym,"['2 jajka', '1 łyżka masła orzechowego', '1 łyżeczka sosu sojowego', '1 łyżeczka masła']","['Na patelni rozpuść masło.', 'Roztrzep jajka z masłem orzechowym i sosem sojowym.', 'Wlej mieszankę na patelnię i smaż na małym ogniu, mieszając, aż jajecznica osiągnie pożądaną konsystencję.']",,Unknown,
Kanapka z kiszonym ogórkiem i miodem,"['Chleb żytni', 'Masło', 'Krojony kiszony ogórek', 'Miód']","['Posmaruj kromki chleba masłem.', 'Ułóż plasterki kiszonego ogórka na jednej kromce.', 'Skrop ogórki miodem.', 'Przykryj drugą kromką chleba.']",,Unknown,
Pizza z masłem orzechowym i kiełbasą pepperoni,"['Ciasto na pizzę', 'Masło orzechowe', 'Ser mozzarella', 'Kawałki pepperoni']","['Rozwałkuj ciasto i posmaruj je cienką warstwą masła orzechowego.', 'Posyp serem mozzarella i ułóż plastry pepperoni.', 'Piecz w nagrzanym piekarniku w temperaturze 200°C przez 12-15 minut.']",,Unknown,
"Sałatka z makaronem, jabłkiem i majonezem","['250 g ugotowanego makaronu', '1 jabłko, pokrojone w kostkę', '1/2 szklanki rodzynek', '2 łyżki majonezu', 'Sól i pieprz do smaku']","['W misce wymieszaj makaron, jabłko i rodzynki.', 'Dodaj majonez i dokładnie wymieszaj.', 'Dopraw solą i pieprzem do smaku.']",,Unknown,
Hot dog z masłem orzechowym i dżemem winogronowym,"['Bułki do hot dogów', 'Parówki', 'Masło orzechowe', 'Dżem winogronowy']","['Podgrzej bułki i ugotuj parówki.', 'Posmaruj wewnętrzną stronę bułek masłem orzechowym.', 'Nałóż dżem winogronowy na parówki i umieść je w bułkach.']",,Unknown,
Grzanki z serem żółtym i dżemem malinowym,"['2 kromki chleba tostowego', 'Ser żółty w plasterkach', 'Dżem malinowy', 'Masło']","['Posmaruj jedną stronę każdej kromki chleba masłem.', 'Na wewnętrznej stronie jednej kromki nałóż plasterki sera i dżem malinowy.', 'Przykryj drugą kromką, masłem na zewnątrz.', 'Smaż na patelni na złoty kolor z obu stron.']",,Unknown,
"Makaron z masłem, czosnkiem i sosem sojowym","['200 g ulubionego makaronu', '2 ząbki czosnku, posiekane', '2 łyżki masła', '2 łyżki sosu sojowego', 'Posiekana natka pietruszki do dekoracji']","['Ugotuj makaron zgodnie z instrukcją na opakowaniu.', 'Na patelni rozpuść masło, dodaj czosnek i smaż przez 1-2 minuty.', 'Dodaj sos sojowy i wymieszaj.', 'Wrzuć ugotowany makaron na patelnię i wymieszaj z sosem.', 'Posyp natką pietruszki przed podaniem.']",,Unknown,
Jajka sadzone z bananem i sosem chili,"['2 jajka', '1 banan, pokrojony w plasterki', 'Sos chili']","['Usmaż jajka sadzone na patelni.', 'Na talerzu ułóż plasterki banana obok jajek.', 'Skrop wszystko sosem chili.']",,Unknown,
Naleśniki z serem pleśniowym i miodem,"['Ciasto na naleśniki', 'Ser pleśniowy (np. gorgonzola)', 'Miód']","['Przygotuj naleśniki według ulubionego przepisu.', 'Na każdy naleśnik nałóż kawałki sera pleśniowego i skrop miodem.', 'Zwiń lub złóż naleśniki i podawaj na ciepło.']",,Unknown,
Burger z masłem orzechowym i dżemem truskawkowym,"['Bułka do burgera', 'Kotlet wołowy', 'Masło orzechowe', 'Dżem truskawkowy']","['Usmaż lub upiecz kotlet wołowy.', 'Przekrój bułkę i posmaruj jedną połówkę masłem orzechowym, a drugą dżemem.', 'Włóż kotlet między połówki bułki i podawaj.']",,Unknown,
Owsianka z masłem orzechowym i piklami,"['1 szklanka ugotowanej owsianki', '1 łyżka masła orzechowego', 'Plastry pikli']","['Do ciepłej owsianki dodaj masło orzechowe i dokładnie wymieszaj.', 'Ułóż plastry pikli na wierzchu i podawaj.']",,Unknown,
Lody waniliowe z espresso i solą morską,"['Gałka lodów waniliowych', '1 małe espresso (gorące)', 'Szczypta soli morskiej']","['W miseczce ułóż gałkę lodów waniliowych.', 'Polej lody gorącym espresso.', 'Posyp szczyptą soli morskiej i podawaj natychmiast.']",,Unknown,
Pieczone ziemniaki z masłem orzechowym i bekonem,"['4 średnie ziemniaki', '4 łyżki masła orzechowego', '4 plastry bekonu, usmażone na chrupko']","['Upiecz ziemniaki w piekarniku w temperaturze 200°C przez około 1 godzinę.', 'Przekrój ziemniaki na pół i nałóż masło orzechowe.', 'Posyp pokruszonym bekonem i podawaj na ciepło.']",,Unknown,
"Kanapka z serem żółtym, truskawkami i balsamico","['Chleb tostowy', 'Ser żółty w plasterkach', 'Świeże truskawki, pokrojone w plasterki', 'Ocet balsamiczny']","['Na jednej kromce chleba ułóż plasterki sera i truskawek.', 'Skrop całość octem balsamicznym.', 'Przykryj drugą kromką chleba i opiecz w tosterze.']",,Unknown,
Ryż smażony z ananasem i rodzynkami,"['2 szklanki ugotowanego ryżu', '1 szklanka pokrojonego ananasa', '1/2 szklanki rodzynek', '1 łyżka oleju', 'Szczypta curry']","['Na patelni rozgrzej olej, dodaj ryż i smaż przez 2-3 minuty.', 'Dodaj ananasa, rodzynki i szczyptę curry, mieszając.', 'Smaż jeszcze przez kilka minut i podawaj na ciepło.']",,Unknown,
Kurczak pieczony w maślance i musztardzie,"['1 kg kawałków kurczaka', '1 szklanka maślanki', '2 łyżki musztardy Dijon', '1 łyżeczka soli', '1 łyżeczka pieprzu', '1 łyżeczka wędzonej papryki']","['W misce wymieszaj maślankę, musztardę, sól, pieprz i wędzoną paprykę.', 'Włóż kawałki kurczaka do marynaty i pozostaw na co najmniej 4 godziny (najlepiej na noc).', 'Piecz w temperaturze 200°C przez 40-50 minut, aż kurczak będzie złocisty i dobrze upieczony.']",,Unknown,
Jajka na miękko z sosem sojowym i masłem,"['2 jajka', '1 łyżka masła', '1 łyżeczka sosu sojowego']","['Ugotuj jajka na miękko i obierz je ze skorupki.', 'Przekrój jajka na pół, a na każdym połóż kawałek masła.', 'Skrop jajka sosem sojowym i podawaj.']",,Unknown,
Kanapka z sardynkami i czekoladą,"['Chleb pełnoziarnisty', 'Sardynki w oleju', 'Kostka gorzkiej czekolady']","['Na kromkę chleba ułóż sardynki.', 'Posyp startą gorzką czekoladą.', 'Przykryj drugą kromką chleba i podawaj jako nietypową przekąskę.']",,Unknown,
Lody waniliowe z chrupkami bekonowymi,"['Gałka lodów waniliowych', 'Bekon, usmażony na chrupko', 'Szczypta cynamonu']","['Nałóż gałkę lodów waniliowych do miseczki.', 'Posyp pokruszonym bekonem i odrobiną cynamonu.', 'Podawaj natychmiast.']",,Unknown,
Pizza z majonezem i kukurydzą,"['Ciasto na pizzę', 'Majonez', 'Kukurydza konserwowa', 'Ser mozzarella']","['Rozwałkuj ciasto na pizzę i posmaruj je cienką warstwą majonezu.', 'Posyp równomiernie kukurydzą i mozzarellą.', 'Piecz w temperaturze 200°C przez 15 minut.']",,Unknown,
"Sałatka z arbuzem, ogórkiem i sosem chili","['2 szklanki pokrojonego arbuza', '1 ogórek, pokrojony w plasterki', '1 łyżka sosu chili', 'Sok z 1 limonki']","['W misce wymieszaj arbuza i ogórek.', 'Skrop sokiem z limonki i dodaj sos chili.', 'Podawaj na zimno jako orzeźwiającą sałatkę.']",,Unknown,
Hot dog z kimchi i masłem orzechowym,"['Bułka do hot doga', 'Parówka', 'Kimchi', 'Masło orzechowe']","['Ugotuj parówkę i podgrzej bułkę.', 'Nałóż cienką warstwę masła orzechowego na wnętrze bułki.', 'Dodaj parówkę i ułóż porcję kimchi na wierzchu.']",,Unknown,
Tosty francuskie z serem pleśniowym i syropem klonowym,"['2 kromki chleba', '1 jajko', '1/2 szklanki mleka', 'Ser pleśniowy (np. camembert)', 'Syrop klonowy']","['W misce wymieszaj jajko i mleko.', 'Zanurz kromki chleba w mieszance jajecznej.', 'Usmaż tosty na złoty kolor.', 'Posmaruj serem pleśniowym i polej syropem klonowym.']",,Unknown,
Ryż smażony z mango i curry,"['2 szklanki ugotowanego ryżu', '1 mango, pokrojone w kostkę', '1 łyżeczka curry w proszku', '1 łyżka oleju']","['Na patelni rozgrzej olej, dodaj ryż i curry.', 'Smaż przez 2-3 minuty, a następnie dodaj mango.', 'Smaż jeszcze minutę i podawaj.']",,Unknown,
Grzanki z masłem czosnkowym i miodem,"['Chleb', 'Masło', '1 ząbek czosnku, przeciśnięty przez praskę', 'Miód']","['Wymieszaj masło z czosnkiem i posmaruj kromki chleba.', 'Opiecz grzanki na złoty kolor.', 'Skrop każdą grzankę miodem i podawaj.']",,Unknown,
Chipsy z bananów z solą i pieprzem,"['2 dojrzałe banany', '1 łyżka oleju', 'Szczypta soli', 'Szczypta pieprzu']","['Pokrój banany na cienkie plasterki.', 'Wymieszaj je w misce z olejem, solą i pieprzem.', 'Ułóż plasterki na blasze wyłożonej papierem do pieczenia.', 'Piecz w temperaturze 180°C przez 10-15 minut, aż będą chrupiące.']",,Unknown,
Lody waniliowe z sokiem z ogórka i miętą,"['Gałka lodów waniliowych', 'Sok z 1 ogórka', 'Liście mięty']","['Nałóż lody waniliowe do miseczki.', 'Skrop sokiem z ogórka i udekoruj liśćmi mięty.', 'Podawaj natychmiast jako orzeźwiający deser.']",,Unknown,
Omlet z dżemem malinowym i szynką,"['2 jajka', '2 plastry szynki', '1 łyżka dżemu malinowego', 'Sól i pieprz']","['Roztrzep jajka z solą i pieprzem.', 'Wlej mieszankę na patelnię i smaż omlet z jednej strony.', 'Na połowie omletu połóż plastry szynki i dżem malinowy.', 'Złóż omlet na pół i podawaj.']",,Unknown,
Tacos z rybą i ananasem,"['4 tortille', 'Filet z białej ryby (np. dorsz)', '1 szklanka pokrojonego ananasa', '1 łyżka soku z limonki', 'Sól i pieprz']","['Przypraw rybę solą i pieprzem, a następnie usmaż lub upiecz.', 'Na każdą tortillę połóż kawałek ryby, ananas i skrop sokiem z limonki.', 'Zwiń tortille i podawaj.']",,Unknown,
"Sałatka z pomarańczami, oliwkami i cebulą","['2 pomarańcze, obrane i pokrojone w plasterki', '1/4 szklanki czarnych oliwek', '1/2 czerwonej cebuli, pokrojonej w cienkie plasterki', '1 łyżka oliwy z oliwek', 'Szczypta soli i pieprzu']","['W misce ułóż plasterki pomarańczy, oliwki i cebulę.', 'Skrop oliwą z oliwek, dopraw solą i pieprzem.', 'Podawaj na zimno jako nietypową sałatkę.']",,Unknown,
Kawa z solą i masłem,"['1 filiżanka świeżo zaparzonej kawy', '1 łyżeczka masła', 'Szczypta soli']","['Do filiżanki kawy dodaj masło i sól.', 'Mieszaj, aż masło się rozpuści.', 'Podawaj jako kremowy napój.']",,Unknown,
Grzanki z serem kozim i miodem,"['2 kromki chleba', 'Ser kozi', 'Miód']","['Posmaruj kromki chleba serem kozim.', 'Skrop miodem i zapiecz w piekarniku na złoty kolor.']",,Unknown,
"Kanapka z jajkiem sadzonym, majonezem i sosem sojowym","['Bułka', 'Jajko sadzone', '1 łyżeczka majonezu', '1 łyżeczka sosu sojowego']","['Posmaruj bułkę majonezem.', 'Włóż jajko sadzone do środka i skrop sosem sojowym.', 'Podawaj jako szybki posiłek.']",,Unknown,
Lody czekoladowe z chipsami ziemniaczanymi,"['Gałka lodów czekoladowych', 'Chipsy ziemniaczane']","['Nałóż lody czekoladowe do miseczki.', 'Ułóż chipsy ziemniaczane wokół lodów.', 'Podawaj jako słono-słodki deser.']",,Unknown,
Pieczona dynia z masłem orzechowym i cynamonem,"['1 mała dynia', '2 łyżki masła orzechowego', 'Szczypta cynamonu']","['Obierz dynię i pokrój na kawałki.', 'Wymieszaj kawałki dyni z masłem orzechowym i cynamonem.', 'Piecz w temperaturze 180°C przez 30 minut, aż dynia będzie miękka.']",,Unknown,
"Kanapka z masłem orzechowym, ogórkiem kiszonym i miodem","['Chleb pełnoziarnisty', 'Masło orzechowe', 'Plastry ogórka kiszonego', 'Miód']","['Posmaruj kromki chleba masłem orzechowym.', 'Na jednej kromce ułóż plastry ogórka kiszonego.', 'Skrop miodem i przykryj drugą kromką chleba.']",,Unknown,
"Sałatka z arbuzem, fetą i czarnym pieprzem","['Kawałki arbuza', 'Ser feta, pokruszony', 'Świeżo zmielony czarny pieprz']","['Wymieszaj w misce kawałki arbuza z serem feta.', 'Posyp świeżo zmielonym pieprzem i podawaj na zimno.']",,Unknown,
"Ryż z jajkiem, sosem sojowym i masłem","['1 szklanka ugotowanego ryżu', '1 jajko', '1 łyżka masła', '1 łyżeczka sosu sojowego']","['Na gorący ryż połóż masło.', 'Rozbij jajko na wierzchu gorącego ryżu i wymieszaj.', 'Skrop sosem sojowym i podawaj.']",,Unknown,
"Koktajl z awokado, mleka skondensowanego i lodu","['1 awokado', '1/2 szklanki mleka skondensowanego', '1 szklanka lodu']","['W blenderze zmiksuj awokado, mleko skondensowane i lód na gładką masę.', 'Podawaj schłodzony jako orzeźwiający napój.']",,Unknown,
Omlet z bekonem i syropem klonowym,"['2 jajka', '2 plastry bekonu, usmażone na chrupko', '1 łyżeczka syropu klonowego']","['Roztrzep jajka i usmaż omlet.', 'Na gotowy omlet połóż plastry bekonu.', 'Skrop syropem klonowym i podawaj.']",,Unknown,
Lody truskawkowe z octem balsamicznym,"['Gałka lodów truskawkowych', '1 łyżeczka octu balsamicznego']","['Nałóż lody truskawkowe do miseczki.', 'Skrop octem balsamicznym i podawaj natychmiast.']",,Unknown,
Pizza z ziemniakami i rozmarynem,"['Ciasto na pizzę', '1 ziemniak, cienko pokrojony w plasterki', 'Oliwa z oliwek', 'Świeży rozmaryn']","['Rozwałkuj ciasto na pizzę i posmaruj je oliwą z oliwek.', 'Ułóż plasterki ziemniaka na wierzchu i posyp rozmarynem.', 'Piecz w temperaturze 200°C przez 15-20 minut.']",,Unknown,
Tosty z Nutellą i serem żółtym,"['2 kromki chleba tostowego', 'Nutella', 'Plasterek sera żółtego']","['Posmaruj jedną kromkę Nutellą.', 'Nałóż plasterek sera i przykryj drugą kromką chleba.', 'Opiecz w tosterze lub na patelni, aż ser się roztopi.']",,Unknown,
Pieczony kurczak z miodem i sosem sojowym,"['1 kg udek z kurczaka', '2 łyżki miodu', '2 łyżki sosu sojowego', '1 łyżeczka wędzonej papryki']","['Wymieszaj miód, sos sojowy i paprykę, tworząc marynatę.', 'Natrzyj kurczaka marynatą i piecz w temperaturze 200°C przez 40 minut.']",,Unknown,
Hot dog z frytkami i ketchupem wewnątrz,"['Bułka do hot doga', 'Parówka', 'Kilka frytek', 'Ketchup']","['Ugotuj parówkę i podgrzej bułkę.', 'Włóż frytki i parówkę do środka bułki.', 'Skrop ketchupem i podawaj.']",,Unknown,
Pieczone jabłka z serem pleśniowym i orzechami włoskimi,"['2 jabłka', '50 g sera pleśniowego (np. gorgonzola)', 'Garść orzechów włoskich, posiekanych', 'Miód']","['Przekrój jabłka na pół i wydrąż środek.', 'Wypełnij wnętrze serem pleśniowym i orzechami.', 'Skrop miodem i piecz w temperaturze 180°C przez 20 minut.']",,Unknown,
"Kanapka z jajkiem na twardo, sardynkami i majonezem","['Chleb pełnoziarnisty', '1 jajko na twardo, pokrojone w plasterki', '2 sardynki w oleju', '1 łyżeczka majonezu']","['Posmaruj chleb majonezem.', 'Ułóż plasterki jajka i sardynki na wierzchu.', 'Przykryj drugą kromką chleba i podawaj.']",,Unknown,
Makaron z masłem orzechowym i mlekiem kokosowym,"['200 g makaronu ryżowego', '2 łyżki masła orzechowego', '1/2 szklanki mleka kokosowego', '1 łyżeczka sosu sojowego']","['Ugotuj makaron zgodnie z instrukcją na opakowaniu.', 'W małym garnku podgrzej masło orzechowe, mleko kokosowe i sos sojowy, mieszając, aż uzyskasz gładki sos.', 'Wymieszaj makaron z sosem i podawaj.']",,Unknown,
Tosty francuskie z pomarańczą i cukrem pudrem,"['2 kromki chleba', '1 jajko', '1/2 szklanki mleka', '1 pomarańcza, obrana i pokrojona w plasterki', 'Cukier puder']","['Wymieszaj jajko z mlekiem i zanurz kromki chleba.', 'Usmaż na złoty kolor z obu stron.', 'Ułóż plasterki pomarańczy na tostach i posyp cukrem pudrem.']",,Unknown,
Zupa dyniowa z masłem orzechowym,"['500 g dyni, obranej i pokrojonej w kostkę', '1 szklanka bulionu warzywnego', '2 łyżki masła orzechowego', '1/2 szklanki mleka kokosowego']","['Ugotuj dynię w bulionie, aż będzie miękka.', 'Zblenduj na gładką masę.', 'Dodaj masło orzechowe i mleko kokosowe, mieszając, aż zupa będzie kremowa.']",,Unknown,
Lody waniliowe z herbatą Earl Grey,"['Gałka lodów waniliowych', '1/4 szklanki mocno zaparzonej herbaty Earl Grey']","['Polej lody waniliowe herbatą Earl Grey.', 'Podawaj natychmiast jako orzeźwiający deser.']",,Unknown,
"Grzanki z awokado, jajkiem i ostrym sosem","['2 kromki chleba', '1 dojrzałe awokado', '1 jajko sadzone', 'Ostry sos (np. sriracha)']","['Posmaruj kromki chleba rozgniecionym awokado.', 'Ułóż na wierzchu jajko sadzone.', 'Skrop ostrym sosem i podawaj.']",,Unknown,
"Pizza z burakiem, fetą i rukolą","['Ciasto na pizzę', '1 ugotowany burak, pokrojony w cienkie plasterki', '50 g sera feta', 'Garść rukoli']","['Rozwałkuj ciasto i posmaruj je oliwą z oliwek.', 'Ułóż plasterki buraka i pokruszoną fetę na cieście.', 'Piecz w temperaturze 200°C przez 15 minut.', 'Po upieczeniu udekoruj rukolą i podawaj.']",,Unknown,
"Kanapka z masłem orzechowym, dżemem i bekonem","['Chleb tostowy', 'Masło orzechowe', 'Dżem truskawkowy', '2 plastry bekonu, usmażone na chrupko']","['Posmaruj kromki chleba masłem orzechowym i dżemem.', 'Dodaj bekon między kromki i złącz je w kanapkę.']",,Unknown,
"Sałatka z ogórkiem, jogurtem i orzechami włoskimi","['1 ogórek, pokrojony w plasterki', '1/2 szklanki jogurtu naturalnego', 'Garść posiekanych orzechów włoskich', 'Sól i pieprz']","['Wymieszaj ogórek z jogurtem i orzechami.', 'Dopraw solą i pieprzem i podawaj na zimno.']",,Unknown,
"Tosty z ricottą, figami i miodem","['2 kromki chleba tostowego', '2 łyżki ricotty', '2 świeże figi, pokrojone w plasterki', 'Miód']","['Posmaruj kromki chleba ricottą.', 'Ułóż plasterki fig na wierzchu.', 'Skrop miodem i podawaj jako przekąskę lub śniadanie.']",,Unknown,
Pieczona marchewka z tahini i cytryną,"['4 marchewki, pokrojone wzdłuż na ćwiartki', '2 łyżki pasty tahini', 'Sok z 1 cytryny', 'Sól i pieprz']","['Upiecz marchewki w piekarniku w temperaturze 200°C przez 20 minut.', 'Polej je pastą tahini wymieszaną z sokiem z cytryny.', 'Dopraw solą i pieprzem i podawaj jako dodatek do dań głównych.']",,Unknown,
Omlet z szpinakiem i masłem orzechowym,"['2 jajka', 'Garść świeżego szpinaku', '1 łyżka masła orzechowego']","['Roztrzep jajka i wlej na patelnię, aby usmażyć omlet.', 'Na połowie omletu ułóż szpinak i masło orzechowe.', 'Złóż omlet na pół i podawaj.']",,Unknown,
Zupa pomidorowa z masłem orzechowym,"['500 ml zupy pomidorowej (domowej lub gotowej)', '2 łyżki masła orzechowego']","['Podgrzej zupę pomidorową w garnku.', 'Dodaj masło orzechowe i mieszaj, aż się rozpuści i połączy z zupą.', 'Podawaj z grzankami.']",,Unknown,
"Pizza z jabłkiem, cheddarem i miodem","['Ciasto na pizzę', '1 jabłko, pokrojone w cienkie plasterki', '100 g sera cheddar, startego', 'Miód']","['Rozwałkuj ciasto na pizzę i posyp serem cheddar.', 'Ułóż plasterki jabłka na wierzchu.', 'Piecz w temperaturze 200°C przez 15 minut.', 'Po upieczeniu skrop miodem i podawaj.']",,Unknown,
Hot dog z coleslaw i sosem BBQ,"['Bułka do hot doga', 'Parówka', '2 łyżki surówki coleslaw', '1 łyżka sosu BBQ']","['Ugotuj parówkę i podgrzej bułkę.', 'Włóż parówkę do bułki, a na wierzch dodaj coleslaw i sos BBQ.']",,Unknown,
Makaron z serem pleśniowym i gruszką,"['200 g makaronu (np. penne)', '100 g sera pleśniowego (np. gorgonzola)', '1 gruszka, pokrojona w plasterki', '1 łyżka masła']","['Ugotuj makaron według instrukcji na opakowaniu.', 'Na patelni rozpuść masło, dodaj ser pleśniowy i mieszaj, aż się rozpuści.', 'Dodaj makaron i plasterki gruszki, wymieszaj i podawaj.']",,Unknown,
Pieczone bataty z tahini i granatem,"['2 bataty, pokrojone na kawałki', '2 łyżki pasty tahini', '1/4 szklanki ziaren granatu']","['Upiecz bataty w piekarniku w temperaturze 200°C przez 25-30 minut.', 'Polej je pastą tahini i posyp ziarnami granatu.', 'Podawaj jako dodatek lub samodzielne danie.']",,Unknown,
Tosty z hummusem i kiszoną kapustą,"['2 kromki chleba', '2 łyżki hummusu', 'Kiszona kapusta']","['Posmaruj kromki chleba hummusem.', 'Nałóż na wierzch kiszoną kapustę.', 'Podawaj na zimno lub lekko podgrzane.']",,Unknown,
Lody czekoladowe z płatkami chili,"['Gałka lodów czekoladowych', 'Szczypta płatków chili']","['Nałóż lody do miseczki.', 'Posyp płatkami chili i podawaj jako pikantny deser.']",,Unknown,
