title,ingredients,directions,link,source,NER
"Sałatka z burakiem, kozim serem i orzechami laskowymi","['2 ugotowane buraki, pokrojone w kostkę', '100 g sera koziego', 'Garść posiekanych orzechów laskowych', '1 łyżka oliwy z oliwek', '1 łyżeczka miodu']","['W misce wymieszaj buraki, pokruszony ser kozi i orzechy laskowe.', 'Skrop oliwą i miodem, wymieszaj i podawaj.']",,Unknown,
Omlet z twarogiem i dżemem truskawkowym,"['2 jajka', '50 g twarogu', '1 łyżka dżemu truskawkowego']","['Roztrzep jajka i usmaż cienki omlet.', 'Na środku omletu rozłóż twaróg i dżem truskawkowy.', 'Złóż omlet na pół i podawaj.']",,Unknown,
"Grzanki z mozzarellą, pomidorami i miodem","['2 kromki chleba', 'Plasterki mozzarelli', 'Plasterki pomidorów', 'Miód']","['Na kromkach chleba ułóż plasterki mozzarelli i pomidorów.', 'Zapiecz w piekarniku na złoty kolor.', 'Skrop miodem przed podaniem.']",,Unknown,
"Makaron z tuńczykiem, oliwkami i cytryną","['200 g makaronu', '1 puszka tuńczyka w oleju', '1/4 szklanki czarnych oliwek, pokrojonych', 'Sok z 1 cytryny']","['Ugotuj makaron zgodnie z instrukcją na opakowaniu.', 'Wymieszaj makaron z tuńczykiem, oliwkami i sokiem z cytryny.', 'Podawaj na ciepło lub na zimno jako sałatkę.']",,Unknown,
Pieczone ziemniaki z pesto i kwaśną śmietaną,"['4 ziemniaki', '2 łyżki pesto', '2 łyżki kwaśnej śmietany']","['Upiecz ziemniaki w całości w temperaturze 200°C przez 1 godzinę.', 'Przekrój ziemniaki na pół i nałóż na wierzch pesto oraz kwaśną śmietanę.']",,Unknown,
"Kanapka z awokado, łososiem i kaparami","['Chleb żytni', '1/2 awokado, pokrojone w plasterki', 'Plastry wędzonego łososia', '1 łyżeczka kaparów']","['Na kromce chleba ułóż plasterki awokado, łososia i kapary.', 'Podawaj jako szybki posiłek lub przekąskę.']",,Unknown,
Tacos z ciecierzycą i sosem jogurtowym,"['4 tortille', '1 szklanka ugotowanej ciecierzycy', '1/2 szklanki jogurtu naturalnego', '1 ząbek czosnku, przeciśnięty', 'Szczypta chili w proszku']","['Podsmaż ciecierzycę na patelni z przyprawami.', 'Wymieszaj jogurt z czosnkiem i chili.', 'Na tortillach ułóż ciecierzycę i polej sosem jogurtowym.']",,Unknown,
"Tosty z masłem orzechowym, bananem i płatkami owsianymi","['2 kromki chleba', '1 łyżka masła orzechowego', '1 banan, pokrojony w plasterki', '1 łyżeczka płatków owsianych']","['Posmaruj kromki chleba masłem orzechowym.', 'Nałóż plasterki banana i posyp płatkami owsianymi.', 'Podawaj na zimno lub lekko podgrzane.']",,Unknown,
Lody waniliowe z gruszką i miodem,"['Gałka lodów waniliowych', '1 gruszka, pokrojona w plasterki', '1 łyżeczka miodu']","['Ułóż lody waniliowe w miseczce.', 'Na wierzch dodaj plasterki gruszki i skrop miodem.', 'Podawaj natychmiast.']",,Unknown,
Zupa krem z brokułów i masła orzechowego,"['1 brokuł', '2 szklanki bulionu warzywnego', '2 łyżki masła orzechowego', 'Sól i pieprz do smaku']","['Ugotuj brokuł w bulionie, aż będzie miękki.', 'Zblenduj na gładki krem.', 'Dodaj masło orzechowe, wymieszaj i dopraw do smaku.']",,Unknown,
Pieczone buraki z kozim serem i miodem,"['3 buraki, obrane i pokrojone w plasterki', '100 g sera koziego', '1 łyżka miodu', 'Garść rukoli']","['Upiecz plasterki buraka w piekarniku w temperaturze 200°C przez 30 minut.', 'Nałóż na buraki ser kozi, skrop miodem i udekoruj rukolą przed podaniem.']",,Unknown,
Kanapka z grillowanym serem i jabłkiem,"['2 kromki chleba tostowego', '2 plastry sera cheddar', '1/2 jabłka, pokrojonego w cienkie plasterki', 'Masło']","['Posmaruj zewnętrzne strony chleba masłem.', 'Na jednej kromce ułóż ser i plasterki jabłka, przykryj drugą kromką.', 'Grilluj na patelni z obu stron, aż ser się roztopi.']",,Unknown,
Tosty francuskie z bekonem i syropem klonowym,"['2 kromki chleba', '1 jajko', '1/2 szklanki mleka', '2 plastry bekonu', 'Syrop klonowy']","['Wymieszaj jajko z mlekiem i zanurz w nim kromki chleba.', 'Smaż na złoty kolor na patelni.', 'Ułóż na tostach bekon i skrop syropem klonowym.']",,Unknown,
"Sałatka z mango, ogórkiem i kolendrą","['1 mango, pokrojone w kostkę', '1 ogórek, pokrojony w plasterki', 'Garść świeżej kolendry', 'Sok z 1 limonki']","['W misce wymieszaj mango, ogórek i kolendrę.', 'Skrop sokiem z limonki i podawaj na zimno.']",,Unknown,
Hot dog z masłem orzechowym i piklami,"['Bułka do hot doga', 'Parówka', 'Masło orzechowe', 'Plastry pikli']","['Ugotuj parówkę i podgrzej bułkę.', 'Posmaruj wnętrze bułki masłem orzechowym.', 'Dodaj parówkę i pikle, podawaj jako nietypowy hot dog.']",,Unknown,
"Tacos z awokado, mango i sosem chili","['4 tortille', '1 awokado, pokrojone w plasterki', '1 mango, pokrojone w kostkę', '1 łyżka sosu chili']","['Na każdej tortilli ułóż plasterki awokado i mango.', 'Skrop sosem chili i podawaj.']",,Unknown,
Lody waniliowe z syropem klonowym i orzechami pekan,"['Gałka lodów waniliowych', '1 łyżka syropu klonowego', 'Garść orzechów pekan']","['Nałóż lody waniliowe do miseczki.', 'Polej syropem klonowym i posyp orzechami pekan.', 'Podawaj jako deser.']",,Unknown,
"Makaron z cukinią, czosnkiem i cytryną","['200 g makaronu spaghetti', '1 cukinia, pokrojona w cienkie plasterki', '2 ząbki czosnku, posiekane', 'Sok z 1 cytryny']","['Ugotuj makaron zgodnie z instrukcją na opakowaniu.', 'Na patelni podsmaż cukinię i czosnek.', 'Wymieszaj makaron z cukinią i sokiem z cytryny, podawaj na ciepło.']",,Unknown,
Pieczone bataty z kuminem i jogurtem,"['2 bataty, pokrojone na ćwiartki', '1/2 łyżeczki kuminu', '1/2 szklanki jogurtu naturalnego']","['Posyp bataty kuminem i piecz w temperaturze 200°C przez 30 minut.', 'Podawaj z jogurtem jako dipem.']",,Unknown,
"Kanapka z hummusem, ogórkiem i rzodkiewką","['Chleb pełnoziarnisty', '2 łyżki hummusu', 'Plasterki ogórka', 'Plasterki rzodkiewki']","['Posmaruj chleb hummusem.', 'Ułóż plasterki ogórka i rzodkiewki na wierzchu.', 'Przykryj drugą kromką chleba i podawaj.']",,Unknown,
Pieczone jabłka z cynamonem i orzechami włoskimi,"['3 jabłka', '1/4 szklanki posiekanych orzechów włoskich', '1 łyżeczka cynamonu', '1 łyżka miodu']","['Wydrąż środki jabłek, zostawiając dno nienaruszone.', 'Wymieszaj orzechy włoskie, cynamon i miód, a następnie napełnij mieszanką jabłka.', 'Piecz w piekarniku w temperaturze 180°C przez 25-30 minut.']",,Unknown,
Grzanki z awokado i granatem,"['2 kromki chleba', '1 dojrzałe awokado', '1/4 szklanki ziaren granatu']","['Rozgnieć awokado i posmaruj nim kromki chleba.', 'Posyp ziarnami granatu i podawaj jako szybką przekąskę.']",,Unknown,
Makaron z pesto i pieczonymi pomidorami,"['200 g makaronu penne', '1/2 szklanki pesto', '1 szklanka pomidorków koktajlowych, przekrojonych na pół', 'Oliwa z oliwek']","['Upiecz pomidory w piekarniku, skropione oliwą, w temperaturze 200°C przez 15 minut.', 'Ugotuj makaron zgodnie z instrukcją na opakowaniu.', 'Wymieszaj makaron z pesto i pieczonymi pomidorami.']",,Unknown,
"Sałatka z rukolą, gruszką i serem pleśniowym","['Garść rukoli', '1 gruszka, pokrojona w plasterki', '50 g sera pleśniowego (np. gorgonzola)', '1 łyżka orzechów włoskich']","['W misce wymieszaj rukolę, plasterki gruszki i pokruszony ser pleśniowy.', 'Posyp orzechami włoskimi i podawaj.']",,Unknown,
Tosty francuskie z serkiem mascarpone i malinami,"['2 kromki chleba', '1 jajko', '1/2 szklanki mleka', '2 łyżki serka mascarpone', '1/4 szklanki malin']","['Wymieszaj jajko z mlekiem i zanurz w nim kromki chleba.', 'Usmaż chleb na złoty kolor z obu stron.', 'Nałóż na tosty mascarpone i udekoruj malinami.']",,Unknown,
"Sałatka z arbuza, miętą i fetą","['2 szklanki pokrojonego arbuza', '100 g sera feta, pokruszonego', 'Garść świeżej mięty']","['W misce wymieszaj kawałki arbuza z fetą i posiekaną miętą.', 'Podawaj na zimno jako orzeźwiającą sałatkę.']",,Unknown,
Pieczone bataty z miodem i wędzoną papryką,"['2 bataty, pokrojone w kostkę', '1 łyżka miodu', '1/2 łyżeczki wędzonej papryki']","['Wymieszaj bataty z miodem i wędzoną papryką.', 'Piecz w piekarniku w temperaturze 200°C przez 25-30 minut.']",,Unknown,
"Grzanki z twarogiem, rzodkiewką i szczypiorkiem","['2 kromki chleba', '50 g twarogu', 'Plasterki rzodkiewki', 'Posiekany szczypiorek']","['Posmaruj kromki chleba twarogiem.', 'Ułóż na wierzchu plasterki rzodkiewki i posyp szczypiorkiem.']",,Unknown,
"Smoothie z jarmużem, bananem i pomarańczą","['1 szklanka posiekanego jarmużu', '1 banan', 'Sok z 1 pomarańczy', '1/2 szklanki wody']","['Zblenduj wszystkie składniki na gładkie smoothie.', 'Podawaj schłodzone.']",,Unknown,
Pieczone marchewki z miodem i sezamem,"['4 marchewki, obrane i pokrojone wzdłuż', '1 łyżka miodu', '1 łyżka nasion sezamu', 'Sól i pieprz']","['Ułóż marchewki na blasze do pieczenia i skrop miodem.', 'Posyp nasionami sezamu oraz dopraw solą i pieprzem.', 'Piecz w piekarniku w temperaturze 200°C przez 20 minut.']",,Unknown,
"Kanapka z łososiem, kremowym serkiem i koperkiem","['2 kromki chleba pełnoziarnistego', '50 g kremowego serka', 'Plasterki wędzonego łososia', 'Posiekany koperek']","['Posmaruj kromki chleba kremowym serkiem.', 'Na jednej kromce ułóż plasterki łososia i posyp koperkiem.', 'Złóż kanapkę i podawaj.']",,Unknown,
Makaron z brokułami i migdałami,"['200 g makaronu fusilli', '1 brokuł, podzielony na różyczki', 'Garść posiekanych migdałów', '2 łyżki oliwy z oliwek']","['Ugotuj makaron i brokuły w osolonej wodzie.', 'Wymieszaj z oliwą i posyp migdałami przed podaniem.']",,Unknown,
"Tosty z serem żółtym, dżemem i szczyptą soli","['2 kromki chleba tostowego', 'Plasterek sera żółtego', '1 łyżeczka dżemu malinowego', 'Szczypta soli']","['Posmaruj jedną kromkę dżemem, a drugą połóż plasterek sera.', 'Złóż kromki, lekko posól i opiecz w tosterze.']",,Unknown,
Lody czekoladowe z masłem orzechowym i bananem,"['Gałka lodów czekoladowych', '1 łyżka masła orzechowego', '1 banan, pokrojony w plasterki']","['Nałóż lody do miseczki.', 'Dodaj masło orzechowe i plasterki banana.', 'Podawaj natychmiast.']",,Unknown,
Pieczone pomidory z czosnkiem i parmezanem,"['4 pomidory, przekrojone na pół', '2 ząbki czosnku, posiekane', '2 łyżki startego parmezanu', 'Oliwa z oliwek']","['Ułóż pomidory na blasze, skrop oliwą i posyp czosnkiem oraz parmezanem.', 'Piecz w piekarniku w temperaturze 180°C przez 15 minut.']",,Unknown,
"Smoothie z burakiem, malinami i jogurtem","['1 mały ugotowany burak', '1/2 szklanki malin', '1/2 szklanki jogurtu naturalnego', '1/2 szklanki wody']","['Zblenduj wszystkie składniki na gładkie smoothie.', 'Podawaj schłodzone.']",,Unknown,
"Sałatka z jajkiem, avocado i pomidorkami","['2 jajka na twardo, pokrojone w ćwiartki', '1 awokado, pokrojone w plasterki', '1 szklanka pomidorków koktajlowych, przekrojonych na pół', '1 łyżka oliwy z oliwek']","['W misce wymieszaj jajka, awokado i pomidorki.', 'Skrop oliwą z oliwek i delikatnie wymieszaj.']",,Unknown,
Kanapka z hummusem i marynowanymi warzywami,"['Chleb pełnoziarnisty', '2 łyżki hummusu', 'Marynowane warzywa (np. marchewka, ogórek)']","['Posmaruj kromki chleba hummusem.', 'Ułóż warzywa na wierzchu i przykryj drugą kromką chleba.']",,Unknown,
Makaron z serem ricotta i szpinakiem,"['200 g makaronu penne', '100 g świeżego szpinaku', '2 łyżki sera ricotta', 'Sól i pieprz']","['Ugotuj makaron według instrukcji.', 'Na patelni podsmaż szpinak, a następnie wymieszaj go z ricottą i makaronem.', 'Dopraw solą i pieprzem i podawaj na ciepło.']",,Unknown,
"Grzanki z kremowym serkiem, łososiem i cytryną","['2 kromki chleba', '50 g kremowego serka', 'Plasterki wędzonego łososia', 'Sok z 1/4 cytryny']","['Posmaruj kromki chleba kremowym serkiem.', 'Ułóż na wierzchu plasterki łososia.', 'Skrop sokiem z cytryny i podawaj.']",,Unknown,
Pieczone kalafiorowe skrzydełka z ostrym sosem,"['1 mały kalafior, podzielony na różyczki', '1/4 szklanki mąki', '1/4 szklanki wody', '1/4 szklanki ostrego sosu (np. sriracha)']","['Wymieszaj mąkę i wodę, tworząc ciasto.', 'Zanurz różyczki kalafiora w cieście i piecz w temperaturze 200°C przez 20 minut.', 'Polej ostrym sosem i piecz dodatkowe 10 minut.']",,Unknown,
"Makaron z tuńczykiem, cytryną i koperkiem","['200 g makaronu', '1 puszka tuńczyka w oleju', 'Sok z 1 cytryny', 'Garść posiekanego koperku']","['Ugotuj makaron zgodnie z instrukcją.', 'Wymieszaj z tuńczykiem, sokiem z cytryny i koperkiem.', 'Podawaj na ciepło lub na zimno.']",,Unknown,
"Smoothie z mango, ananasa i szpinaku","['1 szklanka pokrojonego mango', '1/2 szklanki pokrojonego ananasa', 'Garść świeżego szpinaku', '1/2 szklanki wody']","['Zblenduj wszystkie składniki na gładkie smoothie.', 'Podawaj schłodzone.']",,Unknown,
Pieczone ziemniaki z czosnkiem i rozmarynem,"['4 ziemniaki, pokrojone w ćwiartki', '2 ząbki czosnku, posiekane', '1 łyżeczka rozmarynu', '2 łyżki oliwy z oliwek']","['Wymieszaj ziemniaki z czosnkiem, rozmarynem i oliwą.', 'Piecz w piekarniku w temperaturze 200°C przez 40 minut.']",,Unknown,
"Tosty z ricottą, truskawkami i miodem","['2 kromki chleba', '2 łyżki ricotty', '1/2 szklanki pokrojonych truskawek', '1 łyżka miodu']","['Posmaruj kromki chleba ricottą.', 'Nałóż plasterki truskawek i skrop miodem.', 'Podawaj na zimno jako deser lub przekąskę.']",,Unknown,
"Sałatka z rukolą, pomidorkami i pestkami dyni","['Garść rukoli', '1 szklanka pomidorków koktajlowych, przekrojonych na pół', '2 łyżki pestek dyni', '1 łyżka oliwy z oliwek']","['W misce wymieszaj rukolę z pomidorkami i pestkami dyni.', 'Skrop oliwą i delikatnie wymieszaj.']",,Unknown,
Omlet z warzywami i sosem sojowym,"['2 jajka', '1/2 szklanki pokrojonych warzyw (np. papryka, cukinia, cebula)', '1 łyżeczka sosu sojowego']","['Na patelni podsmaż warzywa.', 'Wlej roztrzepane jajka i smaż omlet z jednej strony.', 'Skrop sosem sojowym przed podaniem.']",,Unknown,
Zupa krem z batatów i mleka kokosowego,"['2 bataty, obrane i pokrojone w kostkę', '1 szklanka bulionu warzywnego', '1/2 szklanki mleka kokosowego', 'Szczypta curry']","['Ugotuj bataty w bulionie, aż będą miękkie.', 'Zblenduj na gładki krem i dodaj mleko kokosowe oraz curry.', 'Podgrzej przed podaniem.']",,Unknown,
Pieczony bakłażan z tahini i granatem,"['1 bakłażan, przekrojony na pół', '2 łyżki tahini', '1/4 szklanki ziaren granatu', 'Oliwa z oliwek']","['Posmaruj bakłażana oliwą z oliwek i piecz w temperaturze 200°C przez 30 minut.', 'Po upieczeniu polej tahini i posyp ziarnami granatu.', 'Podawaj jako przystawkę lub dodatek do dań głównych.']",,Unknown,
Tosty z masłem orzechowym i prażonymi pestkami dyni,"['2 kromki chleba', '2 łyżki masła orzechowego', '1 łyżka prażonych pestek dyni']","['Posmaruj kromki chleba masłem orzechowym.', 'Posyp pestkami dyni i podawaj.']",,Unknown,
Makaron z pieczarkami i sosem śmietanowym,"['200 g makaronu', '250 g pieczarek, pokrojonych w plasterki', '1/2 szklanki śmietany kremówki', '1 łyżka masła']","['Ugotuj makaron zgodnie z instrukcją na opakowaniu.', 'Na patelni podsmaż pieczarki na maśle.', 'Dodaj śmietanę i podgrzewaj, aż sos zgęstnieje.', 'Wymieszaj makaron z sosem i podawaj.']",,Unknown,
"Smoothie z jarmużu, ananasa i imbiru","['1 szklanka posiekanego jarmużu', '1/2 szklanki pokrojonego ananasa', '1 cm kawałek imbiru, starty', '1/2 szklanki wody']","['Zblenduj wszystkie składniki na gładkie smoothie.', 'Podawaj schłodzone jako zdrowy napój.']",,Unknown,
Pieczone buraki z fetą i orzechami włoskimi,"['3 buraki, obrane i pokrojone w kostkę', '50 g sera feta, pokruszonego', 'Garść posiekanych orzechów włoskich', '1 łyżka oliwy z oliwek']","['Upiecz buraki w temperaturze 200°C przez 40 minut.', 'Po upieczeniu wymieszaj z fetą, orzechami i oliwą.']",,Unknown,
"Sałatka z komosą ryżową, pomidorami i bazylią","['1 szklanka ugotowanej komosy ryżowej', '1 szklanka pomidorków koktajlowych, przekrojonych na pół', 'Kilka listków świeżej bazylii', '1 łyżka oliwy z oliwek']","['W misce wymieszaj komosę ryżową z pomidorkami i bazylią.', 'Skrop oliwą z oliwek i podawaj jako zdrowy lunch.']",,Unknown,
Grzanki z kozim serem i orzechami włoskimi,"['2 kromki chleba', '50 g koziego sera', 'Garść posiekanych orzechów włoskich', 'Miód']","['Posmaruj kromki chleba kozim serem.', 'Posyp orzechami i skrop miodem.', 'Zapiecz w piekarniku na złoty kolor.']",,Unknown,
Pieczone kalafiorowe steki z curry i jogurtem,"['1 kalafior, pokrojony na plastry o grubości 1-2 cm', '1 łyżeczka curry', '2 łyżki oliwy z oliwek', '1/2 szklanki jogurtu naturalnego']","['Posmaruj plastry kalafiora oliwą i posyp curry.', 'Piecz w piekarniku w temperaturze 200°C przez 20-25 minut, aż będą miękkie i złociste.', 'Podawaj z jogurtem jako dipem.']",,Unknown,
"Smoothie z truskawek, kokosa i migdałów","['1 szklanka truskawek', '1/2 szklanki mleka kokosowego', 'Garść migdałów', '1/2 szklanki wody']","['Zblenduj wszystkie składniki na gładkie smoothie.', 'Podawaj schłodzone.']",,Unknown,
Tosty z jajkiem sadzonym i szpinakiem,"['2 kromki chleba', '1 jajko', 'Garść świeżego szpinaku', 'Sól i pieprz']","['Na patelni usmaż jajko sadzone.', 'Na każdą kromkę chleba połóż garść szpinaku i jajko sadzone.', 'Dopraw solą i pieprzem, podawaj natychmiast.']",,Unknown,
"Makaron z dynią, szałwią i parmezanem","['200 g makaronu tagliatelle', '1 szklanka dyni, pokrojonej w kostkę', 'Kilka liści świeżej szałwii', '2 łyżki masła', 'Starty parmezan']","['Ugotuj makaron zgodnie z instrukcją.', 'Na patelni podsmaż dynię na maśle z szałwią, aż będzie miękka.', 'Wymieszaj makaron z dynią i posyp parmezanem.']",,Unknown,
Pieczone buraki z rukolą i kozim serem,"['2 buraki, ugotowane lub upieczone, pokrojone w plasterki', 'Garść rukoli', '50 g koziego sera', '1 łyżka oliwy z oliwek']","['Na talerzu ułóż rukolę i plasterki buraków.', 'Posyp pokruszonym kozim serem i skrop oliwą z oliwek.']",,Unknown,
"Kanapka z mozzarellą, bazylią i pomidorami","['2 kromki chleba', '2 plasterki mozzarelli', '2 plasterki pomidora', 'Kilka liści świeżej bazylii']","['Na jednej kromce chleba ułóż mozzarellę, pomidora i bazylię.', 'Przykryj drugą kromką i opiecz w tosterze lub na patelni.']",,Unknown,
Omlet z grzybami i serem cheddar,"['2 jajka', '100 g grzybów, pokrojonych w plasterki', '50 g startego sera cheddar', '1 łyżka masła']","['Na patelni podsmaż grzyby na maśle.', 'Roztrzep jajka i wlej na patelnię.', 'Posyp serem cheddar i złóż omlet na pół.']",,Unknown,
Pieczone bataty z fetą i pestkami granatu,"['2 bataty, przekrojone na pół', '50 g sera feta, pokruszonego', '1/4 szklanki pestek granatu']","['Upiecz bataty w piekarniku w temperaturze 200°C przez 30 minut.', 'Po upieczeniu posyp fetą i pestkami granatu.']",,Unknown,
"Grzanki z awokado, czerwoną cebulą i chili","['2 kromki chleba', '1 awokado, rozgniecione', 'Kilka plasterków czerwonej cebuli', 'Szczypta płatków chili']","['Posmaruj kromki chleba rozgniecionym awokado.', 'Nałóż plasterki cebuli i posyp płatkami chili.']",,Unknown,
"Sałatka z komosy ryżowej, awokado i kukurydzy","['1 szklanka ugotowanej komosy ryżowej', '1/2 awokado, pokrojonego w kostkę', '1/2 szklanki kukurydzy', 'Sok z 1 limonki']","['W misce wymieszaj komosę ryżową, awokado i kukurydzę.', 'Skrop sokiem z limonki i podawaj.']",,Unknown,
Pieczony łosoś z miodem i musztardą,"['2 filety z łososia', '1 łyżka miodu', '1 łyżka musztardy Dijon', 'Sól i pieprz']","['Wymieszaj miód z musztardą i posmaruj filety z łososia.', 'Dopraw solą i pieprzem.', 'Piecz w temperaturze 200°C przez 12-15 minut.']",,Unknown,
"Makaron z cukinią, czosnkiem i parmezanem","['200 g makaronu spaghetti', '1 cukinia, pokrojona w plasterki', '2 ząbki czosnku, drobno posiekane', '2 łyżki oliwy z oliwek', 'Starty parmezan']","['Ugotuj makaron według instrukcji na opakowaniu.', 'Na patelni podsmaż czosnek i cukinię na oliwie.', 'Wymieszaj makaron z cukinią i posyp parmezanem.']",,Unknown,
"Grzanki z ricottą, miodem i orzechami włoskimi","['2 kromki chleba', '2 łyżki ricotty', '1 łyżeczka miodu', 'Garść posiekanych orzechów włoskich']","['Posmaruj kromki chleba ricottą.', 'Skrop miodem i posyp orzechami włoskimi.', 'Zapiecz w piekarniku przez 5 minut w 180°C.']",,Unknown,
"Kanapka z masłem orzechowym, bananem i płatkami chili","['2 kromki chleba', 'Masło orzechowe', '1 banan, pokrojony w plasterki', 'Szczypta płatków chili']","['Posmaruj kromki chleba masłem orzechowym.', 'Ułóż plasterki banana na wierzchu i posyp płatkami chili.', 'Przykryj drugą kromką i podawaj.']",,Unknown,
"Sałatka z pieczonymi burakami, rukolą i serem feta","['2 buraki, upieczone i pokrojone w kostkę', 'Garść rukoli', '50 g sera feta, pokruszonego', '1 łyżka oliwy z oliwek']","['W misce wymieszaj buraki, rukolę i ser feta.', 'Skrop oliwą z oliwek i delikatnie wymieszaj.']",,Unknown,
Pieczone bataty z cynamonem i miodem,"['2 bataty, pokrojone w kostkę', '1 łyżka miodu', '1/2 łyżeczki cynamonu']","['Wymieszaj bataty z miodem i cynamonem.', 'Piecz w piekarniku w temperaturze 200°C przez 25-30 minut.']",,Unknown,
Tacos z grillowaną cukinią i sosem jogurtowym,"['4 tortille', '1 cukinia, pokrojona w plasterki', '1/2 szklanki jogurtu naturalnego', '1 ząbek czosnku, przeciśnięty']","['Grilluj cukinię na patelni grillowej lub w piekarniku.', 'Wymieszaj jogurt z czosnkiem.', 'Na tortilli ułóż grillowaną cukinię i polej sosem jogurtowym.']",,Unknown,
Zupa krem z marchwi i pomarańczy,"['500 g marchewki, pokrojonej w plasterki', 'Sok z 2 pomarańczy', '1 szklanka bulionu warzywnego', 'Sól i pieprz']","['Ugotuj marchewkę w bulionie, aż będzie miękka.', 'Zblenduj na krem i dodaj sok z pomarańczy.', 'Dopraw solą i pieprzem przed podaniem.']",,Unknown,
"Kanapka z hummusem, awokado i pomidorkami","['Chleb pełnoziarnisty', '2 łyżki hummusu', '1/2 awokado, pokrojonego w plasterki', '1 szklanka pomidorków koktajlowych']","['Posmaruj kromki chleba hummusem.', 'Ułóż plasterki awokado i pomidorki na wierzchu.', 'Przykryj drugą kromką i podawaj.']",,Unknown,
"Smoothie z malin, jarmużu i mleka migdałowego","['1 szklanka malin', 'Garść jarmużu', '1 szklanka mleka migdałowego']","['Zblenduj wszystkie składniki na gładkie smoothie.', 'Podawaj schłodzone.']",,Unknown,
Pieczone pomidory z ricottą i bazylią,"['4 średnie pomidory, przekrojone na pół', '1/2 szklanki ricotty', 'Kilka listków świeżej bazylii', '1 łyżka oliwy z oliwek']","['Wydrąż środki pomidorów i napełnij ricottą.', 'Ułóż na blasze, skrop oliwą i piecz w temperaturze 180°C przez 20 minut.', 'Udekoruj listkami bazylii przed podaniem.']",,Unknown,
"Kanapka z twarogiem, miodem i orzechami laskowymi","['2 kromki chleba pełnoziarnistego', '50 g twarogu', '1 łyżka miodu', 'Garść posiekanych orzechów laskowych']","['Posmaruj chleb twarogiem.', 'Skrop miodem i posyp orzechami.', 'Złóż kromki i podawaj.']",,Unknown,
"Sałatka z jarmużem, pomarańczą i migdałami","['Garść jarmużu', '1 pomarańcza, obrana i pokrojona na kawałki', 'Garść migdałów, podprażonych', '1 łyżka oliwy z oliwek']","['Wymieszaj jarmuż z kawałkami pomarańczy i migdałami.', 'Skrop oliwą i podawaj na zimno.']",,Unknown,
"Makaron z pesto, orzechami włoskimi i rukolą","['200 g makaronu penne', '1/2 szklanki pesto', 'Garść orzechów włoskich', 'Garść rukoli']","['Ugotuj makaron według instrukcji.', 'Wymieszaj z pesto, rukolą i posyp orzechami przed podaniem.']",,Unknown,
Pieczony łosoś z cytryną i koperkiem,"['2 filety z łososia', '1 cytryna, pokrojona w plasterki', 'Garść świeżego koperku', 'Sól i pieprz']","['Dopraw filety solą i pieprzem.', 'Ułóż na łososiu plasterki cytryny i koperek.', 'Piecz w piekarniku w temperaturze 200°C przez 12-15 minut.']",,Unknown,
